Chromosome,Plasmid,Label
NC_009674.1,NC_009673.1,1
NC_010581.1,NC_010580.1,1
NC_010581.1,NC_010578.1,1
NC_010556.1,NC_010549.1,1
NC_010556.1,NC_010550.1,1
NC_010718.1,NC_010715.1,1
NC_010718.1,NC_010724.1,1
NC_011586.2,NC_011585.2,1
NC_012034.1,NC_012036.1,1
NC_012034.1,NC_012037.1,1
NC_012969.1,NC_012970.1,1
NC_012969.1,NC_012972.1,1
NC_013355.1,NC_013356.1,1
NC_013355.1,NC_013357.1,1
NC_013355.1,NC_013358.1,1
NC_013205.1,NC_013206.1,1
NC_013205.1,NC_013207.1,1
NC_013205.1,NC_013208.1,1
NC_013517.1,NC_013518.1,1
NC_013517.1,NC_013519.1,1
NC_013530.1,NC_013531.1,1
NC_013741.1,NC_013742.1,1
NC_013851.1,NC_013852.1,1
NC_013851.1,NC_013862.1,1
NC_013889.1,NC_013930.1,1
NC_014148.1,NC_014149.1,1
NC_017338.2,NC_017339.1,1
NZ_CP046035.1,NZ_CP046036.1,1
NC_014721.1,NC_014719.1,1
NC_015656.1,NC_015664.1,1
NC_015660.1,NC_015665.1,1
NC_015660.1,NC_015661.1,1
NC_016901.1,NC_016905.1,1
NC_015064.1,NC_015057.1,1
NC_015064.1,NC_015065.1,1
NC_015064.1,NC_015058.1,1
NC_015064.1,NC_015059.1,1
NC_015064.1,NC_015060.1,1
NC_014910.1,NC_014908.1,1
NC_014910.1,NC_014911.1,1
NC_014758.1,NC_014749.1,1
NC_014759.1,NC_014750.1,1
NC_014762.1,NC_014754.1,1
NC_014762.1,NC_014755.1,1
NC_014762.1,NC_014756.1,1
NC_014762.1,NC_014763.1,1
NC_014761.1,NC_014753.1,1
NZ_CM001153.1,NZ_CM001154.1,1
NZ_AP023410.1,NZ_AP023411.1,1
NZ_AP023410.1,NZ_AP023412.1,1
NZ_AP023410.1,NZ_AP023413.1,1
NZ_AP023410.1,NZ_AP023414.1,1
NC_015385.1,NC_015386.1,1
NC_014248.1,NC_014249.1,1
NC_014248.1,NC_014250.1,1
NC_015422.1,NC_015423.1,1
NC_017196.2,NC_017194.1,1
NC_015666.1,NC_015658.1,1
NC_015666.1,NC_015667.1,1
NC_015666.1,NC_015659.1,1
NC_015709.1,NC_015715.1,1
NC_015703.1,NC_015693.1,1
NC_015703.1,NC_015704.1,1
NC_015703.1,NC_015694.1,1
NC_015703.1,NC_015705.1,1
NC_015703.1,NC_015695.1,1
NZ_CM001469.1,NZ_CM001470.1,1
NC_016751.1,NC_016748.1,1
NC_017587.1,NC_017588.1,1
NC_017587.1,NC_017590.1,1
NC_018748.1,NC_018742.1,1
NC_018748.1,NC_018749.1,1
NC_018748.1,NC_018743.1,1
NC_018748.1,NC_018744.1,1
NC_018748.1,NC_018745.1,1
NC_018025.1,NC_018026.1,1
NC_018145.1,NC_018146.1,1
NC_018145.1,NC_018147.1,1
NC_018145.1,NC_018148.1,1
NZ_CP034655.1,NZ_CP034656.1,1
NZ_CP047131.1,NZ_CP047132.1,1
NZ_CP047131.1,NZ_CP047133.1,1
NC_018650.1,NC_018651.1,1
NC_018650.1,NC_018654.1,1
NC_018650.1,NC_018652.1,1
NC_018658.1,NC_018659.1,1
